排名,名称,年份,发行商,北美销量(百万),欧洲销量(百万),日本销量(百万),其他地区销量(百万),全球销量(百万),类型,平台
8269,The Idolm@ster: Shiny Festa - Honey Sound / Funky Note / Groovy Tune,2012,Namco Bandai Games,0,0,0.17,0,0.17,动作,PlayStation Portable
8270,Ice Age: Dawn of the Dinosaurs,2009,Activision,0.08,0.07,0,0.02,0.17,动作,PlayStation 2
8271,ESPN Final Round Golf 2002,2001,Konami Digital Entertainment,0.12,0.05,0,0,0.17,体育,任天堂Game Boy Advance
8272,MDK2 Armageddon,2001,Virgin Interactive,0.08,0.07,0,0.02,0.17,射击,PlayStation 2
8273,Exhibition Volume 02,2003,Microsoft Game Studios,0.13,0.04,0,0.01,0.17,杂项,Xbox
8274,Watchmen: The End is Nigh - The Complete Experience,2009,Warner Bros. Interactive Entertainment,0.08,0.07,0,0.02,0.17,动作,PlayStation 3
8275,Fight Night Round 2,2005,Electronic Arts,0.13,0.03,0,0,0.17,格斗,任天堂GameCube
8276,Sudoku Gridmaster,2006,Nintendo,0.13,0.03,0,0.01,0.17,益智,任天堂DS
8277,Disney's Atlantis: The Lost Empire,2001,Sony Computer Entertainment,0.1,0.07,0,0.01,0.17,平台跳跃,PlayStation
8278,Power Pro Kun Pocket,1999,Konami Digital Entertainment,0,0,0.17,0,0.17,体育,任天堂Game Boy
8279,The King of Fighters '97,1998,SNK,0,0,0.17,0,0.17,格斗,世嘉土星
8280,Tamagotchi no Narikiri Challenge,2010,Namco Bandai Games,0,0,0.17,0,0.17,动作,任天堂DS
8281,Goosebumps HorrorLand,2008,Scholastic Inc.,0.16,0,0,0.01,0.17,冒险,任天堂Wii
8282,One Piece: Unlimited World Red,2014,Namco Bandai Games,0.06,0.04,0.04,0.03,0.17,动作,PlayStation Vita
8283,Space Battleship Yamato: Harukanaru Hoshi Iscandar,1999,Namco Bandai Games,0,0,0.16,0.01,0.17,策略,PlayStation
8284,Sound Novel Evolution 1: Otogirisou Sosei-Hen,1999,ChunSoft,0,0,0.16,0.01,0.17,冒险,PlayStation
8285,Dementium: The Ward,2007,SouthPeak Games,0.15,0.01,0,0.01,0.17,射击,任天堂DS
8286,Psi-Ops: The Mindgate Conspiracy,2004,Midway Games,0.13,0.04,0,0.01,0.17,射击,Xbox
8287,SWAT: Global Strike Team,2003,Vivendi Games,0.13,0.04,0,0.01,0.17,射击,Xbox
8288,Despicable Me: The Game,2010,D3Publisher,0.05,0.08,0,0.04,0.17,平台跳跃,PlayStation Portable
8289,MX World Tour Featuring Jamie Little,2005,Play It,0.08,0.07,0,0.02,0.17,竞速,PlayStation 2
8290,Goblin Commander: Unleash the Horde,2003,Jaleco,0.08,0.07,0,0.02,0.17,策略,PlayStation 2
8291,Hello Kitty: Happy Party Pals,2005,THQ,0.12,0.05,0,0,0.17,杂项,任天堂Game Boy Advance
8292,Ringling Bros. and Barnum & Bailey: Circus Friends,2009,Take-Two Interactive,0.16,0,0,0.01,0.17,动作,任天堂DS
8293,Backyard NFL Football '09,2008,Atari,0.08,0.07,0,0.02,0.17,体育,PlayStation 2
8294,World Destruction League: Thunder Tanks,2000,3DO,0.08,0.07,0,0.02,0.17,动作,PlayStation 2
8295,Shin Megami Tensei IV: Final,2016,Deep Silver,0.03,0,0.14,0,0.17,角色扮演,任天堂3DS
8296,Age of Empires III: Complete Collection,2009,Microsoft Game Studios,0.01,0.12,0,0.03,0.17,策略,个人电脑
8297,Finding Nemo: Escape to the Big Blue,2006,THQ,0.12,0.04,0,0.01,0.17,动作,任天堂DS
8298,Backyard Baseball '10,2009,Atari,0.08,0.07,0,0.02,0.17,体育,PlayStation 2
8299,Resident Evil Director's Cut: Dual Shock Edition,1997,Capcom,0,0,0.16,0.01,0.17,动作,PlayStation
8300,The Lord of the Rings: Aragorn's Quest,2010,Warner Bros. Interactive Entertainment,0.1,0.04,0,0.02,0.17,动作,PlayStation 3
8301,Top Spin 2,2006,Take-Two Interactive,0.15,0.01,0,0.01,0.17,体育,Xbox 360
8302,N3 II: Ninety-Nine Nights,2010,Microsoft Game Studios,0.06,0.07,0.04,0.01,0.17,动作,Xbox 360
8303,The King of Fighters '95,1996,Sony Computer Entertainment,0,0,0.16,0.01,0.17,格斗,PlayStation
8304,RoadKill,2003,Midway Games,0.08,0.07,0,0.02,0.17,动作,PlayStation 2
8305,Hanjuku Eiyuu Tai 3D,2003,Square Enix,0,0,0.17,0,0.17,角色扮演,PlayStation 2
8306,.hack//G.U. Vol.3//Redemption,2007,Namco Bandai Games,0,0,0.17,0,0.17,角色扮演,PlayStation 2
8307,Chuck E. Cheese's Party Games,2010,UFO Interactive,0.16,0,0,0.01,0.17,杂项,任天堂Wii
8308,Super Robot Taisen Compact 2 Dai-1-Bu,2000,Namco Bandai Games,0,0,0.17,0,0.17,策略,WonderSwan
8309,Looney Tunes: Back in Action,2003,Warner Bros. Interactive Entertainment,0.13,0.03,0,0,0.17,平台跳跃,任天堂GameCube
8310,Tak: The Great Juju Challenge,2005,THQ,0.12,0.05,0,0,0.17,平台跳跃,任天堂Game Boy Advance
8311,Macross Ultimate Frontier,2009,Namco Bandai Games,0,0,0.17,0,0.17,动作,PlayStation Portable
8312,Cabela's Legendary Adventures,2008,Activision,0.16,0,0,0.01,0.17,体育,PlayStation Portable
8313,Jillian Michaels Fitness Ultimatum 2011,2010,D3Publisher,0.16,0,0,0.01,0.17,体育,任天堂Wii
8314,Pursuit Force: Extreme Justice,2007,Sony Computer Entertainment,0.07,0.07,0,0.03,0.17,动作,PlayStation Portable
8315,Backbreaker,,Unknown,0.16,0,0,0.01,0.17,体育,PlayStation 3
8316,Hunter: The Reckoning Redeemer,2003,Interplay,0.13,0.04,0,0.01,0.17,动作,Xbox
8317,The Rise of the Argonauts,2008,Codemasters,0.03,0.12,0,0.01,0.17,角色扮演,Xbox 360
8318,NHL 07,2006,Electronic Arts,0.13,0.02,0,0.02,0.17,体育,PlayStation Portable
8319,Pro Evolution Soccer 2014,2013,Konami Digital Entertainment,0,0.03,0.14,0,0.17,动作,PlayStation Portable
8320,Tokyo Xtreme Racer,1999,Genki,0,0,0.17,0,0.17,竞速,世嘉Dreamcast
8321,Fighter Maker,1998,Agetec,0.05,0.04,0.07,0.01,0.17,格斗,PlayStation
8322,Bee Movie Game,2007,Activision,0.16,0,0,0.01,0.17,动作,Xbox 360
8323,Backyard NFL Football '10,2009,Atari,0.16,0,0,0.01,0.17,体育,任天堂Wii
8324,Professor Heinz Wolff's Gravity,2008,Deep Silver,0.04,0.12,0,0.02,0.17,益智,任天堂Wii
8325,Thief: Deadly Shadows,2004,Eidos Interactive,0.13,0.04,0,0.01,0.17,动作,Xbox
8326,Buzz! Brain of the UK,2009,Sony Computer Entertainment,0,0.15,0,0.02,0.17,杂项,PlayStation 3
8327,NBA 09: The Inside,2008,Sony Computer Entertainment,0.16,0,0,0.01,0.17,体育,PlayStation Portable
8328,Transformers: Prime,2012,Activision,0.13,0.03,0,0.01,0.17,动作,任天堂3DS
8329,Batman Begins,2005,Electronic Arts,0.12,0.05,0,0,0.17,动作,任天堂Game Boy Advance
8330,Transformer: Rise of the Dark Spark,2014,Activision,0.09,0.07,0,0.02,0.17,动作,Xbox 360
8331,Glover,1999,Atari,0.09,0.06,0,0.01,0.17,平台跳跃,PlayStation
8332,Dragon Ball GT: Game Boy Advance Video Volume 1,2004,,0.12,0.05,0,0,0.17,杂项,任天堂Game Boy Advance
8333,Luxor 3,2008,Mumbo Jumbo,0.16,0,0,0.01,0.17,益智,任天堂Wii
8334,Bratz Kidz,2008,Game Factory,0.16,0,0,0.01,0.17,杂项,任天堂Wii
8335,Fairytale Fights,2009,Playlogic Game Factory,0.14,0.02,0,0.01,0.17,动作,Xbox 360
8336,James Cameron's Dark Angel,,Universal Interactive,0.08,0.07,0,0.02,0.17,动作,PlayStation 2
8337,MotoGP 09/10,2010,Capcom,0.07,0.09,0,0.02,0.17,竞速,Xbox 360
8338,Mahjong Fight Club,2004,Konami Digital Entertainment,0,0,0.17,0,0.17,杂项,PlayStation Portable
8339,World Driver Championship,1999,Midway Games,0.14,0.03,0,0,0.17,竞速,任天堂64
8340,Bomberman 64: The Second Attack!,1999,Hudson Soft,0.05,0.01,0.11,0,0.17,冒险,任天堂64
8341,Turok 3: Shadow of Oblivion,2000,Acclaim Entertainment,0.12,0.05,0,0,0.17,射击,任天堂64
8342,Spawn: Armageddon,2003,Electronic Arts,0.13,0.04,0,0.01,0.17,动作,Xbox
8343,Codename: Kids Next Door: Game Boy Advance Video Volume 1,2004,,0.12,0.05,0,0,0.17,杂项,任天堂Game Boy Advance
8344,Zoo Hospital,2008,Majesco Entertainment,0.14,0.01,0,0.01,0.17,模拟,任天堂Wii
8345,Pokémon Beach Blank-out Blastoise / Go West Young Meowth Game Boy Advance Video,2004,Nintendo,0.12,0.05,0,0,0.17,杂项,任天堂Game Boy Advance
8346,Time and Eternity,2012,Nippon Ichi Software,0.06,0.03,0.06,0.02,0.17,角色扮演,PlayStation 3
8347,Major League Baseball 2K9,2009,Spike,0.08,0.06,0,0.02,0.17,体育,PlayStation 2
8348,Gundam Assault Survive,2010,Namco Bandai Games,0,0,0.17,0,0.17,动作,PlayStation Portable
8349,Disney TH!NK Fast: The Ultimate Trivia Showdown,2008,Disney Interactive Studios,0.08,0.06,0,0.02,0.17,杂项,PlayStation 2
8350,Fate/Stay Night [Réalta Nua],2007,Kadokawa Shoten,0,0,0.17,0,0.17,冒险,PlayStation 2
8351,Disney's Home on the Range,2004,Disney Interactive Studios,0.12,0.04,0,0,0.17,动作,任天堂Game Boy Advance
8352,Sid Meier's Civilization IV,2005,Take-Two Interactive,0.02,0.12,0,0.03,0.17,策略,个人电脑
8353,Jikkyou Powerful Pro Yakyuu 2013,2013,Konami Digital Entertainment,0,0,0.17,0,0.17,体育,PlayStation Portable
8354,Space Griffon VF-9,1995,Panther Software,0.02,0.02,0.12,0.01,0.17,角色扮演,PlayStation
8355,Family Feud Decades,2010,Ubisoft,0.16,0,0,0.01,0.17,杂项,任天堂Wii
8356,NBA Live 16,2015,Electronic Arts,0.1,0.04,0,0.03,0.17,体育,PlayStation 4
8357,CSI: Fatal Conspiracy,2010,Ubisoft,0.11,0.04,0,0.01,0.17,冒险,Xbox 360
8358,Solitaire Overload Plus,2010,Telegames,0.16,0,0,0.01,0.17,杂项,任天堂DS
8359,.hack//G.U. Vol.1//Rebirth,2006,Namco Bandai Games,0,0,0.17,0,0.17,角色扮演,PlayStation 2
8360,Gyakuten Saiban 3,2004,Capcom,0,0,0.16,0,0.17,冒险,任天堂Game Boy Advance
8361,Tak: Mojo Mistake,2008,THQ,0.16,0,0,0.01,0.17,动作,任天堂DS
8362,Gallop Racer 2001,2001,Tecmo Koei,0.05,0.04,0.06,0.01,0.17,体育,PlayStation 2
8363,Nightmare Creatures II,2000,Konami Digital Entertainment,0.09,0.06,0,0.01,0.17,动作,PlayStation
8364,Marble Saga: Kororinpa,2009,Konami Digital Entertainment,0.1,0.06,0,0.02,0.17,益智,任天堂Wii
8365,Fuzion Frenzy 2,2007,Microsoft Game Studios,0.14,0.01,0,0.01,0.17,杂项,Xbox 360
8366,Catwoman,2004,Electronic Arts,0.08,0.06,0,0.02,0.17,动作,PlayStation 2
8367,Monsters vs. Aliens,2009,Activision,0.12,0.03,0,0.01,0.17,动作,Xbox 360
8368,Country Dance: All Stars,2012,GameMill Entertainment,0.16,0,0,0.01,0.17,动作,Xbox 360
8369,Garfield: Lasagna World Tour,2007,Blast! Entertainment Ltd,0.08,0.06,0,0.02,0.17,动作,PlayStation 2
8370,Teenage Mutant Ninja Turtles: Game Boy Advance Video Volume 1,2004,,0.12,0.04,0,0,0.17,杂项,任天堂Game Boy Advance
8371,Disney's Planes,2013,Disney Interactive Studios,0.08,0.07,0,0.02,0.17,模拟,任天堂Wii
8372,Bomberman Land,2007,Rising Star Games,0.11,0.02,0.03,0.01,0.17,杂项,任天堂Wii
8373,Bomberman B-Daman,1996,Hudson Soft,0,0,0.17,0,0.17,射击,超级任天堂
8374,Terminator 3: The Redemption,2004,Atari,0.08,0.06,0,0.02,0.17,射击,PlayStation 2
8375,World Destruction League: Thunder Tanks,2000,3DO,0.09,0.06,0,0.01,0.17,动作,PlayStation
8376,Beat Down: Fists of Vengeance,2005,Capcom,0.04,0.03,0.09,0.01,0.17,动作,PlayStation 2
8377,Reloaded,1996,Gremlin Interactive Ltd,0.09,0.06,0,0.01,0.17,动作,PlayStation
8378,Sword of the Samurai,,Ubisoft,0,0,0.17,0,0.17,格斗,PlayStation 2
8379,MotoGP 15,2015,Milestone S.r.l.,0,0.12,0.03,0.02,0.17,竞速,PlayStation 4
8380,SSX On Tour,2005,Electronic Arts,0.13,0.03,0,0,0.17,体育,任天堂GameCube
8381,Hot Wheels: Beat That!,2007,Activision,0.15,0,0,0.01,0.17,竞速,Xbox 360
8382,G-Force,2009,Disney Interactive Studios,0.11,0.05,0,0.01,0.17,动作,Xbox 360
8383,James Bond 007: Everything or Nothing,2003,Electronic Arts,0.12,0.04,0,0,0.17,射击,任天堂Game Boy Advance
8384,Naruto Shippuden: Ultimate Ninja 5,2007,Namco Bandai Games,0,0,0.17,0,0.17,格斗,PlayStation 2
8385,Shrek Extra Large,2002,TDK Mediactive,0.13,0.03,0,0,0.17,平台跳跃,任天堂GameCube
8386,Final Fantasy V,1998,SquareSoft,0,0,0.16,0.01,0.17,角色扮演,PlayStation
8387,World Tour Soccer 2006,2004,Sony Computer Entertainment,0.08,0.06,0,0.02,0.17,体育,PlayStation 2
8388,Gunvalkyrie,2002,Infogrames,0.13,0.04,0,0.01,0.17,射击,Xbox
8389,NickToons: Racing,2001,Hasbro Interactive,0.09,0.06,0,0.01,0.17,竞速,PlayStation
8390,VR Golf '97,1996,Gremlin Interactive Ltd,0.09,0.06,0,0.01,0.17,体育,PlayStation
8391,Michael Jackson: The Experience 3D,2011,Ubisoft,0.13,0.03,0,0.01,0.17,杂项,任天堂3DS
8392,State of Emergency,2003,Take-Two Interactive,0.13,0.04,0,0.01,0.17,动作,Xbox
8393,Digimon Story: Cyber Sleuth,2015,Namco Bandai Games,0,0,0.17,0,0.17,角色扮演,PlayStation Vita
8394,Off-World Interceptor Extreme,1995,Crystal Dynamics,0.09,0.06,0,0.01,0.17,竞速,PlayStation
8395,Bakugan Battle Brawlers: Defenders of the Core,2010,Activision,0.15,0.01,0,0.01,0.17,动作,任天堂Wii
8396,Disney Golf,2002,Electronic Arts,0.07,0.06,0.02,0.02,0.17,体育,PlayStation 2
8397,The Naked Brothers Band: The Video Game,2008,THQ,0.08,0.06,0,0.02,0.17,杂项,PlayStation 2
8398,Custom Robo Arena,2006,Nintendo,0.02,0.02,0.12,0,0.17,格斗,任天堂DS
8399,Clock Tower II: The Struggle Within,1998,Human Entertainment,0.02,0.01,0.12,0.01,0.17,冒险,PlayStation
8400,Batman Beyond: Return of the Joker,2000,Ubisoft,0.09,0.06,0,0.01,0.17,动作,PlayStation
8401,Surf's Up,2007,Ubisoft,0.15,0,0,0.01,0.17,体育,任天堂Wii
8402,Jikkyou Powerful Pro Baseball 2016,2016,Konami Digital Entertainment,0,0,0.17,0,0.17,体育,PlayStation 4
8403,Mega Man Network Transmission,2003,Capcom,0.13,0.03,0,0,0.17,平台跳跃,任天堂GameCube
8404,I'm A Celebrity: Get Me Out of Here!,2009,Mindscape,0,0.16,0,0.01,0.17,杂项,任天堂Wii
8405,Pursuit Force,2005,Sony Computer Entertainment,0.14,0.01,0,0.02,0.17,竞速,PlayStation Portable
8406,Densetsu no Stafi 4,2006,Nintendo,0,0,0.17,0,0.17,平台跳跃,任天堂DS
8407,Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon (JP sales),2008,Atlus,0,0,0.17,0,0.17,角色扮演,PlayStation 2
8408,Naval Assault: The Killing Tide,2010,505 Games,0.08,0.07,0,0.02,0.17,模拟,Xbox 360
8409,Tokimeki Memorial: Private Collection,1996,Konami Digital Entertainment,0,0,0.16,0.01,0.17,杂项,PlayStation
8410,RC Revenge Pro,2000,Acclaim Entertainment,0.08,0.06,0,0.02,0.17,竞速,PlayStation 2
8411,Valkyria Chronicles,2016,Sega,0.06,0.04,0.05,0.02,0.17,角色扮演,PlayStation 4
8412,Hellboy: The Science of Evil,2008,Konami Digital Entertainment,0.13,0.02,0,0.02,0.17,动作,PlayStation 3
8413,Backyard Wrestling: Don't Try This at Home,2003,Eidos Interactive,0.13,0.04,0,0.01,0.17,格斗,Xbox
8414,Zoo Keeper,2004,Ignition Entertainment,0.1,0.01,0.05,0.01,0.17,益智,任天堂DS
8415,Gauntlet: Dark Legacy,2002,Midway Games,0.13,0.04,0,0.01,0.17,动作,Xbox
8416,Toukiden Kiwami,2015,Tecmo Koei,0.05,0.07,0.02,0.02,0.17,动作,PlayStation 4
8417,Far East of Eden II: Manji Maru,2003,Hudson Soft,0,0,0.17,0,0.17,角色扮演,PlayStation 2
8418,Lost Kingdoms,2002,Activision,0.1,0.02,0.04,0,0.17,角色扮演,任天堂GameCube
8419,WRC 2: FIA World Rally Championship,2011,Ubisoft,0,0.13,0,0.04,0.17,竞速,PlayStation 3
8420,Blood Bowl,2009,Focus Home Interactive,0.13,0.03,0,0.01,0.17,体育,Xbox 360
8421,Matchbox Cross Town Heroes,2002,THQ,0.12,0.04,0,0,0.17,竞速,任天堂Game Boy Advance
8422,Wolfenstein 3D,2002,BAM! Entertainment,0.12,0.04,0,0,0.17,射击,任天堂Game Boy Advance
8423,Nobunaga no Yabou: Tenshoki,1996,Tecmo Koei,0,0,0.17,0,0.17,策略,超级任天堂
8424,Learning to Spell,2010,505 Games,0.16,0,0,0.01,0.17,杂项,任天堂DS
8425,"Go, Diego, Go! Safari Rescue",2007,Take-Two Interactive,0.15,0.01,0,0.01,0.17,冒险,任天堂DS
8426,Super Power League,1993,Hudson Soft,0,0,0.17,0,0.17,体育,超级任天堂
8427,Easy Piano,2009,Game Life,0.04,0.11,0,0.02,0.17,杂项,任天堂DS
8428,Street Fighter Alpha 2,1996,Nintendo,0,0,0.17,0,0.17,格斗,超级任天堂
8429,Dragon Quest X,2014,Square Enix,0,0,0.17,0,0.17,角色扮演,任天堂3DS
8430,Payday 2,2015,505 Games,0.08,0.07,0,0.01,0.17,射击,Xbox One
8431,25 to Life,2006,Eidos Interactive,0.12,0.04,0,0.01,0.17,射击,Xbox
8432,Sumikko Gurashi: Koko ga Ochitsukundesu,2014,Nippon Columbia,0,0,0.17,0,0.17,动作,任天堂3DS
8433,NASCAR '15,2015,Deep Silver,0.15,0,0,0.02,0.17,体育,Xbox 360
8434,TransFormers Animated: The Game,2008,Activision,0.15,0.01,0,0.01,0.17,动作,任天堂DS
8435,Fracture,2008,LucasArts,0.11,0.04,0,0.02,0.17,射击,PlayStation 3
8436,Sega Superstars,2004,Sega,0.08,0.06,0,0.02,0.17,杂项,PlayStation 2
8437,Midway Arcade Treasures,2003,Midway Games,0.13,0.03,0,0,0.17,杂项,任天堂GameCube
8438,Leisure Suit Larry: Magna Cum Laude,2004,Vivendi Games,0.12,0.04,0,0.01,0.17,冒险,Xbox
8439,Mousetrap / Operation / Simon,2005,DSI Games,0.12,0.04,0,0,0.17,杂项,任天堂Game Boy Advance
8440,Klonoa,2008,Namco Bandai Games,0.11,0.02,0.03,0.01,0.17,平台跳跃,任天堂Wii
8441,Splatterhouse,,Namco Bandai Games,0.13,0.02,0,0.02,0.17,动作,PlayStation 3
8442,NBA 09: The Inside,2008,Sony Computer Entertainment,0.08,0.06,0,0.02,0.17,体育,PlayStation 2
8443,Spyro: Shadow Legacy,2005,Vivendi Games,0.14,0.01,0,0.01,0.17,动作,任天堂DS
8444,Resident Evil,1997,Capcom,0,0,0.17,0,0.17,动作,世嘉土星
8445,Wildstar,2014,NCSoft,0.08,0.07,0,0.02,0.17,角色扮演,个人电脑
8446,Dragon Ball: Fusions,2016,Namco Bandai Games,0,0,0.17,0,0.17,角色扮演,任天堂3DS
8447,Apache: Air Assault,2010,Activision,0.12,0.04,0,0.01,0.17,模拟,Xbox 360
8448,TOEIC Test Training DS,2007,IE Institute,0,0,0.17,0,0.17,杂项,任天堂DS
8449,Jikkyou Powerful Pro Yakyuu 2014,2014,Konami Digital Entertainment,0,0,0.17,0,0.17,体育,PlayStation 3
8450,Senran Kagura: Estival Versus,2015,Marvelous Interactive,0.07,0,0.08,0.02,0.17,动作,PlayStation 4
8451,Itoi Shigesato no Bass Tsuri No. 1,1997,Nintendo,0,0,0.17,0,0.17,体育,超级任天堂
8452,Cubivore: Survival of the Fittest,2002,Nintendo,0.01,0,0.15,0,0.17,冒险,任天堂GameCube
8453,The Sims 3: Seasons,2012,Electronic Arts,0,0.13,0,0.03,0.17,模拟,个人电脑
8454,Anarchy Reigns,2012,Sega,0.11,0.02,0.02,0.01,0.17,动作,Xbox 360
8455,FlatOut,2004,Empire Interactive,0.12,0.04,0,0.01,0.17,竞速,Xbox
8456,Project X Zone 2: Brave New World,2015,Namco Bandai Games,0.04,0.04,0.08,0.01,0.17,角色扮演,任天堂3DS
8457,NCAA Basketball 09,2008,Electronic Arts,0.15,0,0,0.01,0.17,体育,PlayStation 3
8458,Bakugan Battle Brawlers: Defenders of the Core,2010,Activision,0.14,0.01,0,0.02,0.17,动作,PlayStation 3
8459,Mr. Do!'s Castle,1983,Parker Bros.,0.15,0.01,0,0,0.17,动作,Atari 2600
8460,Death Trap,1982,Avalon Interactive,0.15,0.01,0,0,0.17,动作,Atari 2600
8461,Armor Ambush,1981,Mattel Interactive,0.15,0.01,0,0,0.17,动作,Atari 2600
8462,Parodius,1995,Konami Digital Entertainment,0,0,0.16,0,0.17,射击,世嘉土星
8463,Thrillville: Off the Rails,2007,LucasArts,0.13,0.02,0,0.01,0.16,策略,Xbox 360
8464,Hyperdimension Neptunia Victory,2012,Compile Heart,0.05,0.03,0.06,0.02,0.16,角色扮演,PlayStation 3
8465,Taz Wanted,2002,Atari,0.08,0.06,0,0.02,0.16,平台跳跃,PlayStation 2
8466,Mobile Suit Gundam: Extreme VS Force,2015,Namco Bandai Games,0,0,0.16,0,0.16,动作,PlayStation Vita
8467,Sid Meier's Pirates!,2010,Take-Two Interactive,0.13,0.02,0,0.01,0.16,策略,任天堂Wii
8468,MLB 16: The Show,2016,Sony Computer Entertainment,0.13,0,0,0.03,0.16,动作,PlayStation 3
8469,Phantasy Star Online 2,2013,Sega,0,0,0.16,0,0.16,角色扮演,PlayStation Vita
8470,Vehicular Combat League presents Motor Mayhem,2001,Atari,0.08,0.06,0,0.02,0.16,竞速,PlayStation 2
8471,PoPoLoCrois: Hajimari no Bouken,2002,Sony Computer Entertainment,0,0,0.16,0,0.16,角色扮演,PlayStation 2
8472,Star Wars: Super Bombad Racing,2001,LucasArts,0.08,0.06,0,0.02,0.16,竞速,PlayStation 2
8473,Hamster Heroes,2008,Popcorn Arcade,0.16,0,0,0,0.16,益智,任天堂Wii
8474,Hot Wheels Velocity X,2002,THQ,0.12,0.04,0,0,0.16,竞速,任天堂Game Boy Advance
8475,Ar Nosurge: Ode to an Unborn Star,2014,Tecmo Koei,0.05,0.04,0.06,0.02,0.16,角色扮演,PlayStation 3
8476,Chaotic: Shadow Warriors,2009,Activision,0.15,0,0,0.01,0.16,动作,PlayStation 3
8477,Leisure Suit Larry: Box Office Bust,2009,Codemasters,0.14,0.01,0,0.01,0.16,冒险,Xbox 360
8478,Alien Resurrection,2000,Fox Interactive,0.09,0.06,0,0.01,0.16,射击,PlayStation
8479,World Tour Soccer 2005,2004,Sony Computer Entertainment,0.08,0.06,0,0.02,0.16,体育,PlayStation 2
8480,Dungeon Siege: Throne of Agony,2006,Take-Two Interactive,0.13,0.02,0,0.02,0.16,角色扮演,PlayStation Portable
8481,Spider-Man: Web of Shadows - Amazing Allies Edition,2008,Activision,0.12,0.02,0,0.02,0.16,动作,PlayStation Portable
8482,F1 2011,2011,Codemasters,0.07,0.08,0,0.02,0.16,竞速,任天堂3DS
8483,Rio,2011,THQ,0.12,0.03,0,0.01,0.16,杂项,任天堂DS
8484,Gunslingers,2010,Neko Entertainment,0.08,0.06,0,0.02,0.16,射击,任天堂Wii
8485,Create,2010,Electronic Arts,0.11,0.03,0,0.02,0.16,动作,PlayStation 3
8486,Lufia: Curse of the Sinistrals,2010,Square Enix,0.12,0,0.03,0.01,0.16,角色扮演,任天堂DS
8487,El Shaddai: Ascension of the Metatron,2011,Ignition Entertainment,0.07,0.05,0.03,0.01,0.16,动作,Xbox 360
8488,ESPN College Hoops,2003,Sega,0.08,0.06,0,0.02,0.16,体育,PlayStation 2
8489,Thor: God of Thunder,2011,Sega,0.11,0.04,0,0.01,0.16,动作,任天堂Wii
8490,F1 Championship Season 2000,2000,Electronic Arts,0.06,0.05,0.03,0.02,0.16,竞速,PlayStation 2
8491,Guilty Gear Judgment,2006,Majesco Entertainment,0.13,0,0.02,0.01,0.16,格斗,PlayStation Portable
8492,Pen 1 Grand Prix: Penguin no Mondai Special,2009,Konami Digital Entertainment,0,0,0.16,0,0.16,格斗,任天堂DS
8493,Clash of the Titans,2010,Namco Bandai Games,0.08,0.06,0,0.02,0.16,动作,Xbox 360
8494,Around the World in 80 Days,2010,PlayV,0,0.14,0,0.02,0.16,动作,任天堂DS
8495,Robotech: Battlecry,2002,TDK Mediactive,0.13,0.03,0,0,0.16,射击,任天堂GameCube
8496,True Swing Golf,2005,Nintendo,0.11,0,0.04,0.01,0.16,体育,任天堂DS
8497,Zapper: One Wicked Cricket!,2002,Infogrames,0.08,0.06,0,0.02,0.16,平台跳跃,PlayStation 2
8498,Bomberman Land,2000,Hudson Soft,0,0,0.15,0.01,0.16,杂项,PlayStation
8499,Paws & Claws: Pet Resort,2006,THQ,0.12,0.04,0,0,0.16,模拟,任天堂Game Boy Advance
8500,Kya: Dark Lineage,2003,Atari,0.08,0.06,0,0.02,0.16,冒险,PlayStation 2
8501,Dynasty Warriors 8: Xtreme Legends,2013,Tecmo Koei,0.02,0.03,0.11,0.01,0.16,动作,PlayStation 3
8502,Curious George,2006,Namco Bandai Games,0.12,0.04,0,0,0.16,动作,任天堂Game Boy Advance
8503,Monster Jam,2007,Activision,0.15,0,0,0.01,0.16,竞速,任天堂Wii
8504,Medieval Games,2009,Vir2L Studios,0.14,0.01,0,0.01,0.16,动作,任天堂Wii
8505,Stronghold 3,2011,,0.06,0.1,0,0,0.16,策略,个人电脑
8506,The Amazing Spider-Man (Console Version),2012,Activision,0.11,0.04,0,0.01,0.16,动作,任天堂Wii
8507,Kid Adventures: Sky Captain,2010,Unknown,0.11,0.04,0,0.01,0.16,动作,任天堂Wii
8508,Lethal Skies II,2003,Sammy Corporation,0.08,0.06,0,0.02,0.16,模拟,PlayStation 2
8509,Doctor Lautrec and the Forgotten Knights,2011,Konami Digital Entertainment,0.07,0.05,0.03,0.01,0.16,冒险,任天堂3DS
8510,Disney's American Dragon Jake Long: Attack of the Dark Dragon,2006,Disney Interactive Studios,0.15,0,0,0.01,0.16,动作,任天堂DS
8511,Godzilla Unleashed,2007,Atari,0.15,0,0,0.01,0.16,格斗,任天堂Wii
8512,Kamaitachi no Yoru × 3,2006,Sega,0,0,0.16,0,0.16,冒险,PlayStation 2
8513,Tom and Jerry: Infurnal Escape,2003,Ubisoft,0.12,0.04,0,0,0.16,动作,任天堂Game Boy Advance
8514,The Legend of Heroes VII: The Trail of Zero,2010,Falcom Corporation,0,0,0.16,0,0.16,角色扮演,PlayStation Portable
8515,Warriors Orochi 3,2011,Ubisoft Annecy,0.09,0.03,0.03,0.01,0.16,动作,Xbox 360
8516,King's Field,1995,Sony Computer Entertainment,0.09,0.06,0,0.01,0.16,角色扮演,PlayStation
